ai_document,sim_to_orig,sim_to_wiki,difference,closer_to,top1_orig,top1_orig_sim,top1_wiki,top1_wiki_sim
1986_Grimm_Copilot_Küchenmeister_Jorinde_und_Joringel.txt,0.2277,0.2544,-0.0267,Wikipedia,1857_Grimm_Original_Grimm_Jorinde_und_Joringel.txt,0.503,1986_Grimm_Wikipedia_Küchenmeister_Jorinde_und_Joringel.txt,0.716
1995_Grimm_Copilot_Bloom_Rotkäppchen.txt,0.2361,0.2632,-0.0272,Wikipedia,1857_Grimm_Original_Grimm_Rothkäppchen.txt,0.591,1995_Grimm_Wikipedia_Bloom_Rotkäppchen.txt,0.682
1997_Grimm_Copilot_Serra_Schneewittchen.txt,0.2071,0.2351,-0.028,Wikipedia,1857_Grimm_Original_Grimm_Sneewittchen.txt,0.354,1997_Grimm_Wikipedia_Serra_Schneewittchen.txt,0.732
2008_Grimm_Copilot_Kreis_Brüderchen_und_Schwesterchen.txt,0.2145,0.243,-0.0285,Wikipedia,1857_Grimm_Original_Grimm_Brüderchen_und_Schwesterchen.txt,0.573,2008_Grimm_Wikipedia_Kreis_Brüderchen_und_Schwesterchen.txt,0.67
1987_Grimm_Copilot_Luther_Der_treue_Johannes.txt,0.241,0.2696,-0.0286,Wikipedia,1857_Grimm_Original_Grimm_Der_treue_Johannes.txt,0.541,1987_Grimm_Wikipedia_Luther_Der_treue_Johannes.txt,0.74
2012_Grimm_Copilot_Kömmerling_Rotkäppchen.txt,0.2053,0.2345,-0.0292,Wikipedia,1857_Grimm_Original_Grimm_Rothkäppchen.txt,0.495,2012_Grimm_Wikipedia_Kömmerling_Rotkäppchen.txt,0.614
2009_Grimm_Copilot_Clements_Küss_den_Frosch.txt,0.1935,0.2231,-0.0295,Wikipedia,1857_Grimm_Original_Grimm_Das_blaue_Licht.txt,0.328,2009_Grimm_Wikipedia_Clements_Küss_den_Frosch.txt,0.678
1955_Grimm_Copilot_Lustig_Schneeweißchen_und_Rosenrot.txt,0.3199,0.3509,-0.031,Wikipedia,1857_Grimm_Original_Grimm_Schneeweißchen_und_Rosenroth.txt,0.561,1955_Grimm_Wikipedia_Lustig_Schneeweißchen_und_Rosenrot.txt,0.737
2009_Grimm_Copilot_Kömmerling_Die_Gänsemagd.txt,0.2013,0.2331,-0.0318,Wikipedia,1857_Grimm_Original_Grimm_Die_Gänsemagd.txt,0.5,2009_Grimm_Wikipedia_Kömmerling_Die_Gänsemagd.txt,0.744
1988_Grimm_Copilot_Beck_Froschkönig.txt,0.2328,0.2653,-0.0325,Wikipedia,1857_Grimm_Original_Grimm_Der_Froschkönig_oder_der_eiserne_Heinrich.txt,0.501,1988_Grimm_Wikipedia_Beck_Froschkönig.txt,0.712
1983_Grimm_Copilot_Petrik_Vom_tapferen_Schmied.txt,0.1946,0.2271,-0.0326,Wikipedia,–,,1983_Grimm_Wikipedia_Petrik_Vom_tapferen_Schmied.txt,0.772
2010_Grimm_Copilot_Kömmerling_Das_blaue_Licht.txt,0.2356,0.2691,-0.0335,Wikipedia,1857_Grimm_Original_Grimm_Das_blaue_Licht.txt,0.493,2010_Grimm_Wikipedia_Kömmerling_Das_blaue_Licht.txt,0.773
2012_Grimm_Copilot_Klein_Spieglein_Spieglein.txt,0.1972,0.2313,-0.0342,Wikipedia,1857_Grimm_Original_Grimm_Sneewittchen.txt,0.367,2012_Grimm_Wikipedia_Klein_Spieglein_Spieglein.txt,0.718
1987_Grimm_Copilot_Weigl_Die_Pfauenfeder.txt,0.213,0.2479,-0.0348,Wikipedia,1857_Grimm_Original_Grimm_Die_Krystallkugel.txt,0.36,1987_Grimm_Wikipedia_Weigl_Die_Pfauenfeder.txt,0.747
2011_Grimm_Copilot_Wheeler_Der_gestiefelte_Kater.txt,0.2094,0.2444,-0.0349,Wikipedia,1812_Grimm_Original_Grimm_Der_gestiefelte_Kater.txt,0.346,2011_Grimm_Wikipedia_Wheeler_Der_gestiefelte_Kater.txt,0.75
1997_Grimm_Copilot_Freedman_Cinderella.txt,0.2196,0.2554,-0.0358,Wikipedia,1857_Grimm_Original_Grimm_Jorinde_und_Joringel.txt,0.365,1997_Grimm_Wikipedia_Freedman_Cinderella.txt,0.697
1984_Grimm_Copilot_Genschow_Schneeweißchen_und_Rosenrot.txt,0.2195,0.2557,-0.0362,Wikipedia,1857_Grimm_Original_Grimm_Schneeweißchen_und_Rosenroth.txt,0.465,1984_Grimm_Wikipedia_Genschow_Schneeweißchen_und_Rosenrot.txt,0.68
1993_Grimm_Copilot_Aujezdsky_Die_sieben_Raben.txt,0.239,0.2753,-0.0363,Wikipedia,1857_Grimm_Original_Grimm_Die_sieben_Raben.txt,0.504,1993_Grimm_Wikipedia_Aujezdsky_Die_sieben_Raben.txt,0.734
2009_Grimm_Copilot_Janis_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.1971,0.2335,-0.0364,Wikipedia,1857_Grimm_Original_Grimm_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.467,2009_Grimm_Wikipedia_Janis_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.722
1965_Grimm_Copilot_Kaltofen_König_Drosselbart.txt,0.2142,0.252,-0.0378,Wikipedia,1812_Grimm_Original_Grimm_König_Drosselbart.txt,0.485,1965_Grimm_Wikipedia_Kaltofen_König_Drosselbart.txt,0.643
2009_Grimm_Copilot_Ungureit_Die_Bremer_Stadtmusikanten.txt,0.2035,0.2418,-0.0384,Wikipedia,1857_Grimm_Original_Grimm_Die_Bremer_Stadtmusikanten.txt,0.525,2009_Grimm_Wikipedia_Ungureit_Die_Bremer_Stadtmusikanten.txt,0.721
2015_Grimm_Copilot_Ungureit_Der_Prinz_im_Bärenfell.txt,0.2093,0.2497,-0.0404,Wikipedia,–,,2015_Grimm_Wikipedia_Ungureit_Der_Prinz_im_Bärenfell.txt,0.702
2021_Grimm_Copilot_Cannon_Cinderella.txt,0.2252,0.2667,-0.0415,Wikipedia,1857_Grimm_Original_Grimm_Aschenputtel.txt,0.413,2021_Grimm_Wikipedia_Cannon_Cinderella.txt,0.613
2015_Grimm_Copilot_Nellis_Die_sieben_Raben.txt,0.2185,0.2603,-0.0418,Wikipedia,1857_Grimm_Original_Grimm_Die_sieben_Raben.txt,0.475,2015_Grimm_Wikipedia_Nellis_Die_sieben_Raben.txt,0.746
2013_Grimm_Copilot_Kömmerling_Die_goldene_Gans.txt,0.2087,0.2512,-0.0425,Wikipedia,1857_Grimm_Original_Grimm_Die_goldene_Gans.txt,0.478,2013_Grimm_Wikipedia_Kömmerling_Die_goldene_Gans.txt,0.721
1978_Grimm_Copilot_Hübner_Der_Meisterdieb.txt,0.2027,0.2453,-0.0426,Wikipedia,1812_Grimm_Original_Grimm_Der_Meisterdieb.txt,0.478,1978_Grimm_Wikipedia_Hübner_Der_Meisterdieb.txt,0.685
2015_Grimm_Copilot_Honert_Die_weiße_Schlange.txt,0.2208,0.2658,-0.045,Wikipedia,1857_Grimm_Original_Grimm_Die_weiße_Schlange.txt,0.426,2015_Grimm_Wikipedia_Honert_Die_weiße_Schlange.txt,0.775
1937_Grimm_Copilot_Sears_Schneewittchen_und_die_sieben_Zwerge.txt,0.1922,0.2379,-0.0457,Wikipedia,1857_Grimm_Original_Grimm_Sneewittchen.txt,0.396,1937_Grimm_Wikipedia_Sears_Schneewittchen_und_die_sieben_Zwerge.txt,0.578
1972_Grimm_Copilot_Simon_Sechse_kommen_durch_die_Welt.txt,0.2119,0.2577,-0.0458,Wikipedia,1857_Grimm_Original_Grimm_Sechse_kommen_durch_die_ganze_Welt.txt,0.471,1972_Grimm_Wikipedia_Simon_Sechse_kommen_durch_die_Welt.txt,0.733
2011_Grimm_Copilot_Johnson_Red_Riding_Hood.txt,0.1994,0.2499,-0.0505,Wikipedia,1857_Grimm_Original_Grimm_Rothkäppchen.txt,0.375,2011_Grimm_Wikipedia_Johnson_Red_Riding_Hood.txt,0.738
