Token,EmotionCount,Emotions
wurden,7,"admiration, amusement, disgust, nervousness, neutral, realization, sadness"
verurteilt,2,"grief, neutral"
tode,3,"admiration, grief, neutral"
schaffen,3,"approval, neutral, optimism"
köpfe,4,"annoyance, curiosity, joy, neutral"
langer,3,"joy, neutral, surprise"
gesehen,11,"admiration, curiosity, disappointment, disapproval, embarrassment, excitement, fear, joy, love, neutral, surprise"
stiefeln,3,"anger, nervousness, neutral"
rock,3,"admiration, excitement, neutral"
mund,3,"admiration, disgust, neutral"
warum,2,"curiosity, neutral"
tragen,7,"admiration, annoyance, curiosity, gratitude, neutral, realization, sadness"
kleidung,3,"approval, joy, neutral"
zweit,2,"joy, neutral"
jan,8,"admiration, desire, disapproval, fear, gratitude, grief, love, neutral"
sterben,4,"annoyance, curiosity, neutral, realization"
wucherer,3,"grief, neutral, realization"
kindheit,3,"love, neutral, realization"
half,5,"admiration, anger, curiosity, neutral, optimism"
verlangte,5,"admiration, annoyance, grief, neutral, surprise"
agnes,2,"disappointment, neutral"
sowohl,5,"admiration, annoyance, disgust, neutral, realization"
erfüllung,3,"disappointment, neutral, realization"
einzige,6,"admiration, disgust, love, neutral, pride, surprise"
ruhe,3,"neutral, realization, sadness"
dämon,3,"admiration, love, neutral"
rubin,5,"admiration, desire, fear, grief, neutral"
verhindern,2,"neutral, realization"
erreicht,2,"joy, neutral"
falsch,3,"anger, annoyance, neutral"
ergriffen,2,"fear, neutral"
höhle,3,"approval, gratitude, neutral"
ewige,2,"disappointment, neutral"
gestalten,5,"admiration, amusement, disgust, fear, neutral"
jakob,2,"approval, neutral"
maja,2,"approval, neutral"
greta,2,"approval, neutral"
not,2,"admiration, neutral"
audienz,4,"admiration, annoyance, disgust, neutral"
beste,4,"admiration, curiosity, desire, neutral"
weber,2,"admiration, neutral"
breit,3,"admiration, neutral, realization"
nähen,3,"admiration, curiosity, neutral"
hätten,5,"admiration, disappointment, neutral, realization, surprise"
unverzeihlich,2,"admiration, neutral"
prächtig,3,"admiration, neutral, pride"
unschuldigen,2,"neutral, realization"
geschenke,3,"admiration, neutral, optimism"
kündigt,2,"fear, neutral"
abschied,2,"joy, neutral"
hängt,2,"disgust, neutral"
schlitten,5,"admiration, disapproval, disgust, grief, neutral"
zurückgekehrt,2,"neutral, optimism"
begegnen,3,"caring, fear, neutral"
rabe,2,"joy, neutral"
krähe,5,"approval, curiosity, love, nervousness, neutral"
klara,2,"joy, neutral"
bräutigam,2,"fear, neutral"
elsa,8,"annoyance, disappointment, fear, grief, love, neutral, realization, sadness"
namens,4,"admiration, love, neutral, sadness"
goldene,2,"admiration, neutral"
kutsche,6,"admiration, annoyance, confusion, curiosity, disappointment, neutral"
sicher,13,"admiration, approval, caring, curiosity, disapproval, excitement, gratitude, joy, love, neutral, realization, sadness, surprise"
elsas,3,"annoyance, fear, neutral"
märchenerzähler,2,"joy, neutral"
freuen,3,"gratitude, joy, neutral"
räubertochter,3,"admiration, joy, neutral"
ertappt,2,"disapproval, neutral"
rentier,3,"admiration, joy, neutral"
frühling,3,"admiration, joy, neutral"
innerlich,3,"admiration, amusement, neutral"
umarmt,2,"love, neutral"
angst,7,"admiration, caring, disappointment, fear, neutral, realization, relief"
getroffen,2,"neutral, realization"
glücklich,3,"embarrassment, joy, neutral"
letzte,3,"annoyance, neutral, optimism"
unten,6,"admiration, annoyance, approval, curiosity, neutral, realization"
lächelnd,2,"joy, neutral"
hoch,5,"admiration, fear, gratitude, joy, neutral"
befindet,2,"disappointment, neutral"
tore,2,"joy, neutral"
hund,9,"anger, disapproval, disgust, excitement, fear, love, neutral, realization, sadness"
hunde,4,"anger, excitement, joy, neutral"
münzen,2,"amusement, neutral"
ankommt,2,"neutral, realization"
los,4,"amusement, caring, confusion, neutral"
säbel,5,"admiration, curiosity, desire, neutral, optimism"
reichtum,5,"admiration, joy, love, neutral, realization"
schuster,3,"love, neutral, realization"
somit,2,"amusement, neutral"
falschen,3,"disappointment, neutral, realization"
kosten,3,"admiration, love, neutral"
stiefel,2,"fear, neutral"
kerze,3,"admiration, fear, neutral"
ohren,3,"annoyance, fear, neutral"
verlieren,5,"admiration, caring, fear, neutral, realization"
folgenden,2,"annoyance, neutral"
kammerfrau,3,"embarrassment, fear, neutral"
zimmer,4,"admiration, neutral, optimism, realization"
gehängt,2,"annoyance, neutral"
pfeife,2,"admiration, neutral"
rauchen,2,"admiration, neutral"
schlägt,4,"disgust, neutral, optimism, realization"
bergen,3,"admiration, fear, neutral"
rolle,2,"neutral, surprise"
wiederzuerkennen,2,"admiration, neutral"
spiegel,3,"admiration, fear, neutral"
zusammensetzen,2,"neutral, optimism"
fröhlichen,3,"admiration, joy, neutral"
kümmert,2,"caring, neutral"
lebens,4,"desire, joy, neutral, realization"
einziger,2,"approval, neutral"
angeführt,2,"fear, neutral"
behalten,4,"curiosity, joy, neutral, realization"
sprechenden,2,"admiration, neutral"
wand,2,"neutral, realization"
räubermädchen,5,"admiration, amusement, joy, neutral, sadness"
teilchen,2,"disappointment, neutral"
eisbär,2,"neutral, realization"
spiegels,2,"neutral, realization"
wind,7,"admiration, anger, desire, fear, neutral, realization, sadness"
getragen,3,"joy, neutral, realization"
zeigte,3,"admiration, fear, neutral"
sahen,11,"amusement, desire, disgust, excitement, fear, joy, love, neutral, optimism, realization, sadness"
strahlte,2,"joy, neutral"
strahlende,2,"neutral, pride"
hineinsah,2,"neutral, realization"
kälte,3,"neutral, realization, sadness"
jahreszeit,2,"admiration, neutral"
erden,2,"admiration, neutral"
nahm,9,"admiration, anger, fear, grief, love, neutral, optimism, realization, sadness"
himmel,7,"admiration, anger, confusion, desire, joy, love, neutral"
zerbrach,3,"fear, neutral, sadness"
teile,2,"love, neutral"
erreichen,4,"admiration, approval, neutral, sadness"
empfangen,2,"love, neutral"
gleichzeitig,2,"amusement, neutral"
bann,2,"love, neutral"
splitter,2,"love, neutral"
berührt,2,"approval, neutral"
entgegnet,2,"love, neutral"
dadurch,2,"neutral, realization"
lichterwald,3,"admiration, neutral, realization"
genießen,2,"joy, neutral"
kaisertochter,3,"admiration, excitement, neutral"
victoria,6,"admiration, approval, desire, love, neutral, surprise"
gewinnen,6,"confusion, desire, disappointment, joy, neutral, optimism"
tand,3,"love, neutral, realization"
schief,2,"disappointment, neutral"
lieder,3,"admiration, love, neutral"
wundersame,2,"neutral, realization"
näher,6,"admiration, desire, disappointment, fear, love, neutral"
100,2,"excitement, neutral"
park,2,"admiration, neutral"
hofball,2,"excitement, neutral"
kaum,8,"admiration, amusement, desire, disappointment, fear, neutral, pride, surprise"
moment,7,"anger, embarrassment, joy, love, neutral, pride, realization"
größten,2,"anger, neutral"
unglück,5,"amusement, disappointment, neutral, realization, sadness"
zurückzubringen,2,"love, neutral"
hochzeitstag,2,"admiration, neutral"
segen,3,"joy, neutral, realization"
hella,10,"admiration, caring, curiosity, desire, disappointment, embarrassment, joy, neutral, realization, sadness"
achtlos,2,"annoyance, neutral"
passanten,2,"embarrassment, neutral"
wenigstens,3,"admiration, neutral, optimism"
einzig,2,"desire, neutral"
schwer,7,"admiration, amusement, annoyance, disappointment, neutral, sadness, surprise"
weges,2,"amusement, neutral"
hellas,2,"desire, neutral"
obdach,2,"approval, neutral"
zustand,2,"love, neutral"
irrt,2,"fear, neutral"
straßen,5,"admiration, annoyance, fear, joy, neutral"
umher,5,"admiration, amusement, excitement, fear, neutral"
gesicht,6,"admiration, amusement, annoyance, disgust, joy, neutral"
knaben,4,"admiration, approval, disgust, neutral"
graf,2,"disappointment, neutral"
tannen,2,"disappointment, neutral"
streichholzmädchen,2,"neutral, sadness"
gelitten,3,"neutral, optimism, realization"
aufrichtig,2,"love, neutral"
bitter,3,"disappointment, neutral, realization"
wendet,2,"neutral, sadness"
holting,3,"disappointment, love, neutral"
leide,2,"admiration, neutral"
nächste,2,"joy, neutral"
lohmann,2,"approval, neutral"
wohnung,2,"admiration, neutral"
richard,2,"neutral, realization"
porträt,2,"neutral, realization"
gesellschaftliche,2,"embarrassment, neutral"
anerkennung,2,"neutral, realization"
kräften,2,"neutral, realization"
ponyo,3,"admiration, curiosity, neutral"
fujimoto,2,"neutral, realization"
gefangen,2,"fear, neutral"
küste,2,"admiration, neutral"
sōsuke,2,"disappointment, neutral"
lisa,2,"disappointment, neutral"
verlust,2,"neutral, sadness"
trösten,4,"approval, disappointment, neutral, sadness"
magie,4,"admiration, confusion, disappointment, neutral"
sturm,7,"admiration, anger, caring, disappointment, disgust, neutral, sadness"
stürzen,2,"anger, neutral"
lieben,4,"gratitude, joy, love, neutral"
fisch,3,"neutral, optimism, realization"
annehmen,3,"admiration, neutral, sadness"
gleichgewicht,2,"neutral, realization"
art,4,"admiration, approval, confusion, neutral"
johann,6,"admiration, approval, neutral, realization, remorse, surprise"
einfacher,2,"annoyance, neutral"
träumt,3,"joy, love, neutral"
feinen,3,"caring, neutral, realization"
gesellschaft,6,"amusement, curiosity, disappointment, gratitude, neutral, realization"
küche,3,"admiration, curiosity, neutral"
schwingen,2,"admiration, neutral"
großnichte,2,"joy, neutral"
großherzogin,2,"joy, neutral"
stattfinden,2,"neutral, realization"
lisbeth,2,"amusement, neutral"
seit,5,"joy, love, neutral, sadness, surprise"
herzenswünsche,2,"disappointment, neutral"
geschieht,2,"annoyance, neutral"
gekleidet,3,"admiration, curiosity, neutral"
ludwig,3,"neutral, realization, surprise"
bekannt,3,"admiration, love, neutral"
stimmt,2,"approval, neutral"
insgeheim,2,"disappointment, neutral"
verborgen,2,"joy, neutral"
geblieben,4,"admiration, approval, joy, neutral"
picknick,2,"admiration, neutral"
aurora,4,"admiration, joy, neutral, realization"
vorbereitet,2,"admiration, neutral"
wahres,4,"admiration, amusement, approval, neutral"
offenbart,2,"neutral, realization"
launisch,2,"annoyance, neutral"
öfter,2,"amusement, neutral"
sinn,3,"admiration, love, neutral"
person,5,"admiration, fear, neutral, sadness, surprise"
ergeben,2,"admiration, neutral"
blind,3,"disappointment, neutral, remorse"
vergangenheit,2,"neutral, realization"
wollten,5,"admiration, anger, disappointment, love, neutral"
weder,7,"admiration, approval, curiosity, disappointment, neutral, realization, sadness"
dingen,3,"admiration, neutral, realization"
fühlt,4,"caring, gratitude, love, neutral"
angezogen,2,"admiration, neutral"
schweinestall,2,"curiosity, neutral"
o,6,"admiration, excitement, gratitude, joy, neutral, realization"
…,2,"disappointment, neutral"
ehrlichherz,5,"admiration, disappointment, joy, neutral, surprise"
rosenmund,4,"admiration, approval, curiosity, neutral"
gewährt,2,"desire, neutral"
hofdamen,5,"admiration, amusement, annoyance, disappointment, neutral"
nächstes,2,"confusion, neutral"
knarre,2,"admiration, neutral"
schönsten,3,"admiration, annoyance, neutral"
strafe,2,"fear, neutral"
hübsche,5,"admiration, confusion, disappointment, love, neutral"
durchnässt,3,"curiosity, love, neutral"
kissen,2,"admiration, neutral"
hartem,2,"nervousness, neutral"
gelegen,5,"admiration, annoyance, disapproval, nervousness, neutral"
empfindlich,2,"admiration, neutral"
wirkliche,3,"admiration, neutral, sadness"
fridolin,2,"love, neutral"
völlig,3,"amusement, annoyance, neutral"
arendelle,5,"amusement, fear, love, neutral, realization"
besitzt,2,"desire, neutral"
lage,2,"disappointment, neutral"
unabsichtlich,2,"fear, neutral"
anna,7,"disappointment, fear, joy, love, neutral, realization, sadness"
königspaar,3,"admiration, embarrassment, neutral"
felsbrocken,2,"disappointment, neutral"
häuptling,2,"fear, neutral"
grand,2,"annoyance, neutral"
pabbie,2,"annoyance, neutral"
erinnerung,4,"admiration, fear, neutral, sadness"
kräfte,8,"amusement, annoyance, approval, disappointment, fear, neutral, optimism, realization"
lernen,2,"admiration, neutral"
kontrollieren,2,"disappointment, neutral"
ausgeht,2,"admiration, neutral"
fähigkeiten,2,"annoyance, neutral"
halten,5,"desire, joy, love, neutral, surprise"
standen,5,"admiration, disgust, joy, neutral, sadness"
herzog,2,"annoyance, neutral"
pitzbühl,2,"annoyance, neutral"
öffnen,2,"neutral, pride"
anfangs,2,"admiration, neutral"
einander,8,"approval, caring, curiosity, excitement, joy, love, neutral, optimism"
nähern,2,"annoyance, neutral"
kenne,2,"curiosity, neutral"
riesigen,2,"anger, neutral"
eispalast,2,"neutral, realization"
warme,4,"admiration, curiosity, joy, neutral"
nordberg,2,"fear, neutral"
verletzen,2,"disappointment, neutral"
annas,3,"approval, caring, neutral"
haare,2,"admiration, neutral"
trollen,2,"disappointment, neutral"
akt,3,"approval, caring, neutral"
gefrorenes,2,"approval, neutral"
auftauen,2,"approval, neutral"
erfrieren,2,"admiration, neutral"
glauben,9,"admiration, anger, annoyance, approval, disapproval, neutral, optimism, realization, sadness"
begraben,2,"embarrassment, neutral"
zwölf,2,"admiration, neutral"
thron,2,"excitement, neutral"
überlässt,2,"admiration, neutral"
anwesenden,2,"annoyance, neutral"
starb,4,"admiration, grief, neutral, sadness"
gegeben,4,"admiration, amusement, annoyance, neutral"
schneesturm,2,"fear, neutral"
auslöst,2,"neutral, surprise"
schale,2,"neutral, surprise"
schuld,4,"anger, neutral, remorse, sadness"
letzter,3,"admiration, curiosity, neutral"
schützend,2,"caring, neutral"
schlüssel,2,"neutral, realization"
kontrolle,4,"annoyance, fear, neutral, realization"
warmen,5,"admiration, amusement, approval, caring, neutral"
zeiten,2,"admiration, neutral"
schließen,2,"neutral, pride"
verschwundenen,2,"caring, neutral"
wort,10,"admiration, approval, curiosity, fear, love, neutral, optimism, realization, sadness, surprise"
laternenanzünder,2,"desire, neutral"
entzündet,2,"amusement, neutral"
zögern,2,"neutral, realization"
schein,2,"disgust, neutral"
wärmen,2,"admiration, neutral"
streichholz,6,"amusement, annoyance, disappointment, love, neutral, realization"
zweite,3,"annoyance, caring, neutral"
entzündete,3,"amusement, neutral, realization"
fantasie,2,"curiosity, neutral"
lichter,3,"admiration, joy, neutral"
erfrorene,2,"caring, neutral"
geist,4,"curiosity, neutral, realization, sadness"
unheil,2,"disappointment, neutral"
erben,2,"admiration, neutral"
testament,2,"admiration, neutral"
abdanken,2,"admiration, neutral"
hofjunker,2,"amusement, neutral"
zimmermann,3,"admiration, love, neutral"
kopfschütteln,2,"approval, neutral"
eigene,6,"annoyance, approval, disapproval, embarrassment, neutral, surprise"
freudestrahlend,2,"approval, neutral"
wahrscheinlich,2,"annoyance, neutral"
unmöglich,2,"admiration, neutral"
waisenkinder,2,"caring, neutral"
tut,4,"admiration, approval, neutral, sadness"
misstrauen,2,"neutral, surprise"
hindurch,2,"disapproval, neutral"
gespürt,2,"admiration, neutral"
nützt,2,"joy, neutral"
sun-jae,2,"amusement, neutral"
apartment,2,"neutral, sadness"
besessenheit,2,"approval, neutral"
entwickeln,2,"disappointment, neutral"
eifersucht,2,"neutral, realization"
geheimnisvollen,2,"desire, neutral"
schützen,3,"annoyance, love, neutral"
darstellt,2,"neutral, realization"
verfolgt,3,"disappointment, neutral, sadness"
dicht,5,"admiration, fear, grief, neutral, surprise"
zug,2,"neutral, surprise"
gezogen,3,"love, neutral, sadness"
schuhen,3,"anger, joy, neutral"
ging,15,"admiration, amusement, anger, annoyance, caring, disappointment, excitement, fear, gratitude, joy, neutral, realization, remorse, sadness, surprise"
mehrere,3,"fear, neutral, sadness"
ballett,3,"approval, love, neutral"
tänzerin,2,"admiration, neutral"
vicki,4,"disappointment, love, neutral, realization"
beeindruckt,2,"admiration, neutral"
tante,4,"annoyance, curiosity, neutral, surprise"
party,2,"neutral, realization"
julian,3,"fear, love, neutral"
enttäuschung,2,"disappointment, neutral"
verlieben,3,"admiration, love, neutral"
stück,6,"admiration, curiosity, disappointment, disgust, neutral, sadness"
etwa,2,"amusement, neutral"
genommen,3,"admiration, neutral, realization"
getanzt,2,"neutral, sadness"
überzeugt,2,"disgust, neutral"
balkon,2,"neutral, surprise"
herbei,2,"neutral, sadness"
trotz,3,"anger, disappointment, neutral"
leeren,3,"amusement, curiosity, neutral"
hungrig,2,"neutral, sadness"
anzündet,3,"anger, neutral, realization"
phantasie,2,"admiration, neutral"
großes,3,"admiration, approval, neutral"
zweites,2,"neutral, realization"
starker,2,"annoyance, neutral"
herrlichkeit,4,"admiration, annoyance, neutral, realization"
puppe,5,"anger, disgust, joy, love, neutral"
berühren,2,"disappointment, neutral"
schweben,3,"gratitude, joy, neutral"
hinauf,2,"admiration, neutral"
pepolino,4,"anger, disappointment, love, neutral"
pepolinos,2,"joy, neutral"
jahren,4,"excitement, gratitude, neutral, optimism"
rotbart,2,"neutral, surprise"
holzbein,2,"neutral, surprise"
glasauge,2,"neutral, surprise"
wert,3,"admiration, neutral, realization"
jacob,2,"anger, neutral"
fische,3,"admiration, disappointment, neutral"
fangen,2,"annoyance, neutral"
hafen,2,"neutral, surprise"
granny,3,"joy, neutral, surprise"
seacat,2,"anger, neutral"
großvaters,2,"neutral, surprise"
papier,2,"neutral, realization"
ganzen,12,"admiration, approval, disappointment, disapproval, disgust, excitement, love, nervousness, neutral, realization, sadness, surprise"
entsetzt,2,"fear, neutral"
lebend,2,"admiration, neutral"
entzückt,4,"admiration, approval, neutral, sadness"
hinüber,3,"anger, curiosity, neutral"
dicke,3,"disgust, fear, neutral"
katze,3,"annoyance, fear, neutral"
zurückzukommen,2,"neutral, surprise"
sinken,2,"neutral, realization"
tot,7,"anger, curiosity, disgust, love, neutral, realization, sadness"
teil,3,"admiration, neutral, optimism"
kiste,2,"disapproval, neutral"
glashaus,2,"admiration, neutral"
wachsen,4,"admiration, approval, desire, neutral"
wütend,3,"anger, annoyance, neutral"
schlagartig,2,"neutral, realization"
schneelandschaft,2,"curiosity, neutral"
halb,2,"caring, neutral"
blühende,2,"admiration, neutral"
flora,3,"admiration, joy, neutral"
herrlicher,2,"admiration, neutral"
trinken,3,"approval, joy, neutral"
länger,2,"neutral, realization"
tropfen,3,"admiration, love, neutral"
blut,2,"nervousness, neutral"
fürchten,3,"admiration, caring, neutral"
seht,4,"admiration, amusement, excitement, neutral"
gemacht,2,"admiration, neutral"
eigenschaft,4,"admiration, approval, joy, neutral"
besaß,6,"admiration, amusement, disapproval, embarrassment, neutral, sadness"
spiegelte,2,"neutral, realization"
schlecht,6,"amusement, caring, disapproval, disgust, neutral, realization"
ärger,2,"annoyance, neutral"
fuhr,4,"admiration, amusement, desire, neutral"
gedanke,4,"admiration, approval, confusion, neutral"
grinsen,2,"fear, neutral"
erzählten,5,"admiration, amusement, approval, neutral, sadness"
wunder,2,"love, neutral"
geschehen,4,"confusion, disapproval, neutral, realization"
liefen,6,"admiration, amusement, anger, fear, joy, neutral"
gab,8,"admiration, amusement, disappointment, excitement, joy, love, neutral, realization"
verdreht,2,"disgust, neutral"
je,9,"admiration, approval, curiosity, disappointment, joy, love, neutral, pride, realization"
höher,2,"fear, neutral"
flogen,6,"admiration, amusement, disgust, fear, neutral, sadness"
konnten,4,"admiration, disappointment, neutral, sadness"
festhalten,2,"neutral, realization"
groß,8,"admiration, amusement, disapproval, disgust, joy, neutral, sadness, surprise"
bekamen,3,"curiosity, disappointment, neutral"
spiegelscherbe,2,"amusement, neutral"
scheiben,2,"admiration, neutral"
betrachten,5,"admiration, approval, desire, neutral, surprise"
luft,6,"admiration, amusement, approval, excitement, fear, neutral"
knabe,2,"admiration, neutral"
drinnen,5,"admiration, amusement, fear, neutral, sadness"
besaßen,2,"neutral, realization"
dach,4,"admiration, fear, neutral, pride"
nachbarhauses,2,"love, neutral"
stieß,2,"fear, neutral"
entlang,2,"admiration, neutral"
lief,6,"annoyance, approval, excitement, fear, love, neutral"
brauchte,3,"caring, joy, neutral"
konnte,19,"admiration, amusement, anger, approval, caring, curiosity, desire, disappointment, disapproval, disgust, embarrassment, fear, gratitude, joy, love, neutral, realization, sadness, surprise"
kasten,2,"admiration, neutral"
wuchsen,3,"admiration, neutral, realization"
reichten,2,"admiration, neutral"
hingen,4,"admiration, approval, neutral, sadness"
herunter,4,"admiration, disapproval, disgust, neutral"
zweige,3,"desire, neutral, realization"
sah,17,"admiration, amusement, approval, confusion, curiosity, disappointment, disapproval, disgust, embarrassment, excitement, fear, gratitude, joy, love, neutral, realization, sadness"
wußten,3,"approval, neutral, realization"
durften,2,"admiration, neutral"
erhielten,2,"neutral, sadness"
erlaubnis,2,"love, neutral"
spielten,3,"admiration, approval, neutral"
schilling,3,"amusement, disapproval, neutral"
schönes,3,"admiration, neutral, sadness"
rund,3,"admiration, fear, neutral"
dahinter,2,"desire, neutral"
blitzte,2,"fear, neutral"
hieß,2,"curiosity, neutral"
mußten,2,"annoyance, neutral"
treppen,2,"love, neutral"
bienen,2,"admiration, neutral"
fragte,8,"curiosity, disappointment, gratitude, joy, neutral, realization, sadness, surprise"
wußte,9,"admiration, amusement, confusion, disapproval, disgust, embarrassment, joy, neutral, sadness"
fenstern,5,"admiration, approval, joy, neutral, sadness"
hinein,16,"admiration, amusement, anger, annoyance, confusion, curiosity, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, sadness, surprise"
sonderbar,2,"admiration, neutral"
laß,3,"disapproval, excitement, neutral"
schmilzt,2,"love, neutral"
erzählte,5,"admiration, disapproval, joy, neutral, realization"
loch,2,"admiration, neutral"
schneeflocken,2,"admiration, neutral"
fielen,3,"amusement, love, neutral"
blieb,6,"admiration, caring, curiosity, fear, neutral, sadness"
schneeflocke,2,"admiration, neutral"
wuchs,3,"admiration, love, neutral"
flor,3,"admiration, joy, neutral"
millionen,2,"fear, neutral"
lebendig,3,"admiration, desire, neutral"
klare,6,"admiration, approval, desire, joy, neutral, realization"
nickte,5,"admiration, caring, excitement, love, neutral"
winkte,3,"neutral, realization, sadness"
erschrak,4,"admiration, fear, neutral, sadness"
sprang,3,"admiration, joy, neutral"
rand,2,"neutral, sadness"
kam,14,"admiration, anger, caring, disappointment, excitement, fear, gratitude, joy, love, nervousness, neutral, realization, sadness, surprise"
schien,9,"admiration, amusement, anger, disappointment, love, neutral, realization, sadness, surprise"
grün,3,"admiration, gratitude, neutral"
hervor,7,"admiration, amusement, caring, curiosity, disgust, love, neutral"
saßen,6,"admiration, amusement, curiosity, disgust, love, neutral"
hielten,3,"amusement, disgust, neutral"
gottes,4,"gratitude, joy, neutral, sadness"
hellen,2,"admiration, neutral"
blickten,3,"admiration, curiosity, neutral"
sonnenschein,4,"admiration, approval, joy, neutral"
sprachen,2,"admiration, neutral"
uhr,2,"curiosity, neutral"
schlug,4,"amusement, anger, nervousness, neutral"
flog,6,"admiration, fear, joy, love, neutral, sadness"
glaube,4,"admiration, amusement, annoyance, neutral"
entsinnen,2,"desire, neutral"
häßlichen,5,"anger, annoyance, disapproval, neutral, remorse"
häßlich,5,"anger, annoyance, disgust, fear, neutral"
trat,6,"admiration, amusement, curiosity, disappointment, love, neutral"
ordentlich,2,"admiration, neutral"
fehler,2,"approval, neutral"
sache,3,"admiration, amusement, neutral"
tat,8,"admiration, annoyance, disapproval, fear, joy, neutral, realization, sadness"
weh,2,"neutral, sadness"
splitterchen,2,"neutral, sadness"
pfui,2,"admiration, neutral"
rief,9,"admiration, amusement, annoyance, confusion, curiosity, excitement, fear, neutral, pride"
fuß,4,"admiration, disgust, neutral, sadness"
machst,2,"neutral, sadness"
schreck,4,"confusion, fear, neutral, realization"
gewahr,2,"neutral, realization"
bilderbuch,3,"admiration, curiosity, neutral"
setzte,3,"admiration, neutral, optimism"
sprach,8,"admiration, amusement, approval, disapproval, love, neutral, optimism, sadness"
lachten,3,"amusement, embarrassment, neutral"
gang,2,"admiration, neutral"
sagten,6,"admiration, amusement, annoyance, approval, curiosity, neutral"
früher,4,"admiration, approval, neutral, realization"
wintertag,2,"joy, neutral"
schneite,2,"annoyance, neutral"
ließ,9,"admiration, amusement, confusion, desire, disgust, joy, love, neutral, realization"
blauen,4,"admiration, desire, fear, neutral"
sieh,6,"admiration, anger, curiosity, disappointment, excitement, neutral"
besten,5,"admiration, disgust, gratitude, love, neutral"
saß,14,"admiration, approval, caring, curiosity, disapproval, excitement, fear, grief, joy, love, neutral, realization, sadness, surprise"
jemand,6,"amusement, annoyance, curiosity, fear, neutral, surprise"
pelz,2,"admiration, neutral"
mütze,4,"admiration, anger, caring, neutral"
band,2,"gratitude, neutral"
drehte,3,"admiration, fear, neutral"
jedesmal,2,"admiration, neutral"
fuhren,3,"amusement, disgust, neutral"
begann,4,"admiration, caring, neutral, realization"
hernieder,2,"neutral, sadness"
erblicken,6,"admiration, desire, joy, neutral, realization, sadness"
hing,3,"admiration, fear, neutral"
hörte,6,"admiration, anger, approval, joy, neutral, sadness"
gräben,2,"love, neutral"
erschrocken,4,"disappointment, fear, neutral, sadness"
vaterunser,2,"caring, neutral"
küßte,3,"admiration, neutral, sadness"
stirn,2,"admiration, neutral"
augenblick,8,"admiration, caring, desire, fear, love, neutral, realization, sadness"
spürte,4,"admiration, fear, neutral, realization"
ringsumher,2,"amusement, neutral"
dachte,13,"admiration, amusement, confusion, desire, disappointment, disgust, fear, joy, love, neutral, optimism, realization, sadness"
eins,2,"admiration, neutral"
festgebunden,2,"annoyance, neutral"
nochmals,2,"admiration, neutral"
bekommst,4,"admiration, approval, caring, neutral"
landes,3,"admiration, neutral, realization"
lächelte,6,"admiration, disappointment, joy, neutral, realization, sadness"
blickte,4,"admiration, amusement, fear, neutral"
wolke,2,"admiration, neutral"
länder,2,"curiosity, neutral"
krähen,2,"admiration, neutral"
dahin,4,"admiration, neutral, realization, sadness"
betrachtete,4,"curiosity, joy, neutral, sadness"
schlief,4,"admiration, disgust, joy, neutral"
erging,2,"desire, neutral"
zurückkehrte,2,"amusement, neutral"
mächtig,2,"admiration, neutral"
binden,2,"admiration, neutral"
tränen,2,"love, neutral"
weinte,7,"admiration, amusement, disapproval, joy, love, neutral, sadness"
fluß,3,"caring, confusion, neutral"
finstere,2,"fear, neutral"
antwortete,3,"anger, approval, neutral"
morgens,2,"neutral, sadness"
zog,9,"admiration, amusement, anger, curiosity, disappointment, fear, neutral, realization, sadness"
hast,10,"admiration, anger, annoyance, approval, confusion, curiosity, love, neutral, optimism, sadness"
warf,5,"admiration, anger, annoyance, caring, neutral"
wellen,5,"admiration, amusement, annoyance, neutral, realization"
glaubte,5,"disapproval, joy, love, neutral, surprise"
schilf,2,"gratitude, neutral"
lag,9,"admiration, amusement, desire, fear, joy, love, neutral, realization, sadness"
bewegung,2,"admiration, neutral"
verursachte,3,"amusement, joy, neutral"
glitt,2,"neutral, sadness"
bemerkte,2,"amusement, neutral"
zurückkam,2,"admiration, neutral"
lande,2,"admiration, neutral"
schneller,2,"approval, neutral"
sangen,6,"admiration, amusement, joy, love, neutral, sadness"
gleichsam,2,"neutral, realization"
strom,2,"admiration, neutral"
vielleicht,7,"curiosity, desire, love, neutral, optimism, realization, sadness"
erhob,2,"admiration, neutral"
sonderbaren,4,"admiration, fear, joy, neutral"
hob,6,"admiration, amusement, desire, disgust, joy, neutral"
froh,4,"disappointment, gratitude, joy, neutral"
obgleich,2,"admiration, neutral"
fürchtete,2,"fear, neutral"
schüttelte,2,"joy, neutral"
gesagt,7,"admiration, approval, caring, curiosity, disgust, grief, neutral"
gefragt,2,"neutral, surprise"
lagen,3,"admiration, grief, neutral"
blau,4,"admiration, love, nervousness, neutral"
farben,3,"admiration, annoyance, neutral"
herein,3,"fear, neutral, sadness"
kirschen,2,"admiration, neutral"
kämmte,2,"admiration, neutral"
glänzte,3,"admiration, fear, neutral"
herrlich,5,"admiration, approval, curiosity, joy, neutral"
rings,4,"admiration, amusement, approval, neutral"
antlitz,3,"admiration, confusion, neutral"
aussah,2,"disgust, neutral"
vergaß,2,"admiration, neutral"
schön,10,"admiration, annoyance, confusion, desire, disappointment, gratitude, joy, love, neutral, realization"
blühten,2,"admiration, neutral"
erblickte,6,"admiration, amusement, curiosity, joy, love, neutral"
führte,3,"approval, joy, neutral"
