Token,EmotionCount,Emotions
stein,5,"admiration, annoyance, caring, fear, neutral"
krone,3,"admiration, disgust, neutral"
dunkelheit,4,"admiration, disgust, neutral, relief"
bedeckt,2,"disgust, neutral"
besitz,3,"grief, neutral, realization"
gar,14,"admiration, amusement, annoyance, confusion, disappointment, disapproval, fear, joy, love, neutral, optimism, realization, sadness, surprise"
haupt,3,"admiration, joy, neutral"
herrscher,4,"admiration, disappointment, disgust, neutral"
welt,16,"admiration, amusement, caring, curiosity, desire, disappointment, embarrassment, excitement, grief, joy, love, neutral, optimism, realization, sadness, surprise"
wäre,13,"admiration, amusement, annoyance, curiosity, disappointment, embarrassment, excitement, fear, joy, love, neutral, optimism, sadness"
mehr,18,"admiration, amusement, anger, annoyance, approval, caring, desire, disappointment, disapproval, disgust, fear, grief, joy, love, neutral, realization, relief, sadness"
vorher,2,"annoyance, neutral"
sonne,12,"admiration, annoyance, caring, desire, disapproval, gratitude, joy, love, neutral, realization, sadness, surprise"
mond,4,"amusement, desire, joy, neutral"
silber,3,"disgust, love, neutral"
zeit,11,"admiration, approval, curiosity, excitement, fear, joy, love, neutral, realization, sadness, surprise"
strand,5,"admiration, approval, caring, neutral, realization"
gerda,17,"admiration, amusement, anger, caring, curiosity, disappointment, disapproval, disgust, excitement, fear, gratitude, joy, love, neutral, realization, relief, sadness"
kai,5,"admiration, joy, love, neutral, optimism"
beim,5,"admiration, curiosity, love, neutral, realization"
spielen,6,"admiration, amusement, fear, joy, love, neutral"
spieldose,2,"neutral, realization"
drei,5,"admiration, anger, fear, love, neutral"
goldenen,3,"admiration, curiosity, neutral"
bekommt,2,"love, neutral"
erhält,5,"anger, curiosity, gratitude, love, neutral"
nachts,3,"admiration, neutral, sadness"
daraufhin,5,"amusement, annoyance, embarrassment, neutral, realization"
glühen,2,"admiration, neutral"
beginnen,4,"admiration, embarrassment, gratitude, neutral"
wirft,3,"amusement, neutral, optimism"
kalte,2,"fear, neutral"
erde,7,"admiration, amusement, annoyance, disgust, fear, neutral, sadness"
hinunter,5,"approval, curiosity, fear, neutral, remorse"
morgen,13,"admiration, annoyance, confusion, curiosity, desire, disapproval, excitement, gratitude, joy, love, neutral, realization, surprise"
betrübt,6,"admiration, disappointment, disgust, joy, neutral, sadness"
straße,4,"admiration, annoyance, neutral, sadness"
suche,4,"caring, fear, love, neutral"
boot,2,"admiration, neutral"
einsamen,2,"fear, neutral"
hexe,11,"admiration, amusement, anger, annoyance, approval, disapproval, disgust, gratitude, joy, neutral, sadness"
hilfe,4,"annoyance, gratitude, love, neutral"
zuckerherzen,2,"love, neutral"
gebracht,3,"disappointment, neutral, realization"
vergessen,4,"admiration, disappointment, neutral, realization"
einsame,4,"fear, love, neutral, realization"
bleibt,4,"admiration, desire, neutral, sadness"
geheimnis,3,"admiration, neutral, realization"
erscheinen,6,"admiration, anger, annoyance, love, neutral, surprise"
erzählen,5,"admiration, approval, gratitude, love, neutral"
mädchen,18,"admiration, amusement, annoyance, approval, caring, curiosity, desire, disappointment, disgust, embarrassment, fear, joy, love, neutral, optimism, realization, sadness, surprise"
tanzen,5,"admiration, amusement, fear, joy, neutral"
müssen,4,"approval, curiosity, neutral, realization"
rosen,6,"admiration, annoyance, curiosity, excitement, joy, neutral"
wänden,4,"amusement, disgust, love, neutral"
verwandelt,4,"admiration, anger, annoyance, neutral"
außerdem,2,"admiration, neutral"
