Emotion,Token,Frequency
neutral,entlassen,5
neutral,geht,35
neutral,arm,18
neutral,trifft,20
neutral,brunnen,6
neutral,goldvorkommen,1
neutral,lagern,1
neutral,hinab,21
neutral,gold,42
neutral,tornister,8
neutral,sammelt,2
neutral,verspricht,8
neutral,hochzuziehen,1
neutral,zurück,90
neutral,ans,10
neutral,tageslicht,7
neutral,befördern,1
neutral,versprechen,5
neutral,eilt,4
neutral,fort,62
neutral,soldaten,40
neutral,trick,2
neutral,gelangt,12
neutral,holt,5
neutral,besiegt,1
neutral,marktplatz,3
neutral,hochmütige,1
neutral,wirtstochter,3
neutral,sofort,32
neutral,verliebt,11
neutral,wirbt,2
neutral,viele,48
neutral,freier,16
neutral,verursacht,2
neutral,vater,62
neutral,wirts,1
neutral,verdruss,1
neutral,königreich,22
neutral,geld,45
neutral,reichen,9
neutral,ehemann,3
neutral,angewiesen,1
neutral,sodass,5
neutral,schäbigste,1
neutral,hotel,7
neutral,königreichs,3
neutral,bekanntschaft,2
neutral,kleineren,1
neutral,königreiches,4
neutral,geworben,1
neutral,zünden,1
neutral,steht,29
neutral,gute,11
neutral,feuerzeug,29
neutral,gerufen,1
neutral,wunsch,23
neutral,erfüllen,6
neutral,müsse,15
neutral,wünscht,8
neutral,her,19
neutral,fährt,5
neutral,kurze,7
neutral,himmelbett,4
neutral,schlafenden,4
neutral,stube,20
neutral,schlafende,2
neutral,glaubt,9
neutral,träume,9
neutral,spaziergang,2
neutral,dächer,2
neutral,erfreut,8
neutral,gewünschten,1
neutral,schnee,27
neutral,sommer,19
neutral,herbeizaubert,1
neutral,küssen,13
neutral,erkennt,5
neutral,traum,28
neutral,empört,3
neutral,davon,62
neutral,bett,25
neutral,merkwürdigen,1
neutral,genug,24
neutral,befindlichkeiten,1
neutral,ordnet,1
neutral,hochzeit,23
neutral,besteht,2
neutral,märchentraditionsgemäß,1
neutral,testen,1
neutral,stellt,14
neutral,knifflige,1
neutral,frage,17
neutral,mithilfe,2
neutral,zauberers,3
neutral,richtig,10
neutral,beantworten,2
neutral,darf,14
neutral,heiraten,19
neutral,befiehlt,3
neutral,dächern,2
neutral,bemerkt,7
neutral,rettende,1
neutral,hotelzimmer,1
neutral,liegt,15
neutral,beauftragt,4
neutral,kurzen,4
neutral,gerichtsverhandlung,2
neutral,erscheint,20
neutral,bereits,12
neutral,hinrichtung,6
neutral,beschlossen,3
neutral,löst,7
neutral,unsichtbar,5
neutral,fesseln,1
neutral,gefangenen,4
neutral,kettet,1
neutral,könig,101
neutral,zaubert,2
neutral,nase,6
neutral,möchte,20
neutral,schicksal,13
neutral,entgehen,1
neutral,heirat,4
neutral,wege,15
neutral,geleitet,4
neutral,aufgabe,1
neutral,erfüllt,9
neutral,verlangt,6
neutral,prinz,119
neutral,geliebte,5
neutral,suchen,16
neutral,letztendlich,2
neutral,ehe,19
neutral,sinnvoll,1
neutral,liebt,6
neutral,trennt,2
neutral,eheschließung,1
neutral,abschiedskuss,2
neutral,eröffnet,1
neutral,könne,39
neutral,sei,102
neutral,ort,3
neutral,verwurzelt,1
neutral,zurücklassen,1
neutral,versteht,4
neutral,puppentheater,2
neutral,kleinbauer,1
neutral,lebt,13
neutral,frau,106
neutral,sieben,6
neutral,kindern,6
neutral,ärmlichen,2
neutral,verhältnissen,1
neutral,montag,1
neutral,samstag,1
neutral,arbeitet,3
neutral,großbauer,1
neutral,sonntag,6
neutral,leiht,1
neutral,hans,58
neutral,feld,7
neutral,bestellen,2
neutral,familie,14
neutral,weiterhin,1
neutral,ernähren,1
neutral,haut,13
neutral,pferdes,2
neutral,markt,5
neutral,aufgrund,3
neutral,starken,4
neutral,regens,1
neutral,müllers,2
neutral,übernachten,3
neutral,schickt,9
neutral,kriecht,2
neutral,deswegen,3
neutral,boden,18
neutral,scheune,3
neutral,beobachtet,7
neutral,müllersfrau,1
neutral,verhältnis,1
neutral,empfängt,3
neutral,üppiges,1
neutral,vorsetzt,1
neutral,pferdefell,4
neutral,behauptet,4
neutral,beweist,1
neutral,vorhersagt,1
neutral,braten,8
neutral,kuchen,7
neutral,befinden,1
neutral,sogar,26
neutral,``,593
neutral,'',627
neutral,sitzt,12
neutral,nachhauseweges,1
neutral,dankbarkeit,2
neutral,schuhe,61
neutral,daheim,6
neutral,scheffelmaß,5
neutral,nachdem,13
neutral,mitbekommt,1
neutral,scheinbar,3
neutral,toten,11
neutral,bekommen,30
neutral,erschlägt,2
neutral,anschließend,2
neutral,versucht,16
neutral,wegen,7
neutral,preisvorstellungen,1
neutral,verjagt,1
neutral,zuvor,9
neutral,kirche,23
neutral,seelisch,2
neutral,stärken,2
neutral,davor,7
neutral,stehen,22
neutral,befreit,5
neutral,vorbeikommende,1
neutral,schäfer,2
neutral,füllen,2
neutral,steine,8
neutral,feind,1
neutral,geworfen,4
neutral,wenig,26
neutral,wiese,4
neutral,neben,10
neutral,schafherde,3
neutral,berichtet,12
neutral,grund,9
neutral,flusses,2
neutral,fee,17
neutral,tiere,5
neutral,geschenkt,4
neutral,ertrinkt,1
neutral,meerjungfrau,19
neutral,meereswelt,1
neutral,erdkugel,1
